,Place,Address,Category,Rating,urls,lat,lng
26,Analogue,"30 Victoria St, #01-31 Chijmes",Bar,4.7,"https://www.google.com/maps/place/Analogue/@1.294927,103.8431063,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da191c935576a1:0xb59128b7286c9099!8m2!3d1.294927!4d103.8518396!15sCgEqWgMiASqSAQNiYXI",1.294927,103.8518396
27,Tenjin (Raffles City),"252 North Bridge Rd, Raffles City Singapore Shopping Centre, #B1, 46",Japanese,4.4,"https://www.google.com/maps/place/Tenjin+(Raffles+City)/@1.29401,103.844414,15z/data=!3m2!4b1!5s0x31da19a5d565eaa3:0xb22ccd0f7a55b22b!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da193939359d65:0xeaec9f4e3db2fd!8m2!3d1.29401!4d103.8531473!15sCgEqWgMiASqSARNqYXBhbmVzZV9yZXN0YXVyYW50",1.29401,103.8531473
28,Kausmo,"1 Scotts Rd, #03 - 07",Restaurant,4.7,"https://www.google.com/maps/place/Kausmo/@1.3064282,103.8231586,15z/data=!3m2!4b1!5s0x31da198d12d2dbb1:0x341e2939435628b2!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19ee9c80de3d:0xf9f203f7a0693f71!8m2!3d1.3064282!4d103.8318919!15sCgEqWgMiASqSAQpyZXN0YXVyYW50",1.3064282,103.8318919
29,Brew & Co.,"716 Ang Mo Kio Ave 6, #01-4030",Cafe,4.5,"https://www.google.com/maps/place/Brew+%26+Co./@1.3716087,103.8371502,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da17c3ab7e004f:0x71508e1a50f9ba9a!8m2!3d1.3715933!4d103.8457504!15sCgEqWgMiASqSAQRjYWZl",1.3715933,103.8457504
30,Creamier Handcrafted Ice Cream and Coffee (Gillman Barracks),5A Lock Rd,Ice Cream,4.4,"https://www.google.com/maps/place/Creamier+Handcrafted+Ice+Cream+and+Coffee+(Gillman+Barracks)/@1.27725,103.7949977,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1bc68437c8e1:0x12fe843b1e9756f0!8m2!3d1.27725!4d103.803731!15sCgEqWgMiASqSAQ5pY2VfY3JlYW1fc2hvcA",1.27725,103.803731
31,Creamier Handcrafted Ice Cream and Coffee (Toa Payoh),"01-02 Lor 1 Toa Payoh, Blk 131",Ice Cream,4.4,"https://www.google.com/maps/place/Creamier+Handcrafted+Ice+Cream+and+Coffee+(Toa+Payoh)/@1.3378565,103.8346662,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da17428516e5b7:0x4a1ebfe28a9d58a4!8m2!3d1.3378565!4d103.8433995!15sCgEqWgMiASqSAQ5pY2VfY3JlYW1fc2hvcA",1.3378565,103.8433995
32,Wine RVLT,"38 Carpenter St, #01-01",Wine bar,4.5,"https://www.google.com/maps/place/Wine+RVLT/@1.288033,103.8391087,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da199a03dd5ee9:0xba599c829964a824!8m2!3d1.2880269!4d103.8478384!15sCgEqWgMiASqSAQh3aW5lX2Jhcg",1.2880269,103.8478384
33,Hopscotch (Gillman Barracks),45 Malan Rd,Restaurant,4.6,"https://www.google.com/maps/place/Hopscotch+(Gillman+Barracks)/@1.2746282,103.7951693,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1912c6876dc1:0xd83c140997acfb3d!8m2!3d1.274624!4d103.8039404!15sCgEqWgMiASqSAQpyZXN0YXVyYW50",1.274624,103.8039404
34,Geometry,"2 Jalan Bukit Merah, #01-5142",Ice Cream,4.6,"https://www.google.com/maps/place/Geometry/@1.286633,103.7984341,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1bcdab56130f:0x442394c2f2138c25!8m2!3d1.286633!4d103.8071674!15sCgEqWgMiASqSAQ5pY2VfY3JlYW1fc2hvcA",1.286633,103.8071674
35,Coffee Plus,"4 Queen's Rd, #02-109",Coffee shop,4.6,"https://www.google.com/maps/place/Coffee+Plus/@1.3193203,103.7999343,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1b0023417e0d:0x943f58bc6d7a5b0d!8m2!3d1.3193084!4d103.8084695!15sCgEqWgMiASqSAQtjb2ZmZWVfc2hvcA",1.3193084,103.8084695
36,Salted Caramel Artisan Ice Cream,246F Upper Thomson Rd,Ice Cream,4.3,"https://www.google.com/maps/place/Salted+Caramel+Artisan+Ice+Cream/@1.3537195,103.8255877,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da173abe6be087:0x921537b3209578dc!8m2!3d1.3537195!4d103.834321!15sCgEqWgMiASqSAQ5pY2VfY3JlYW1fc2hvcA",1.3537195,103.834321
37,Shawn's Beernest,231 Upper Thomson Rd,Beer store,5.0,"https://www.google.com/maps/place/Shawn's+Beernest/@1.3529377,103.8256263,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da17c62b4cc041:0xaf41ef077bba25b!8m2!3d1.3529457!4d103.834366!15sCgEqWgMiASqSAQpiZWVyX3N0b3Jl",1.3529457,103.834366
